Location,Distance_to_CBD,Bedrooms,Bathrooms,Floor_Size,Price,Amenities
Juja,32.8,3,1,146,49530,"CCTV, swimming pool, parking, garden, gym, electric fence"
Ruaka,19,4,2,248,64606,"gym, garbage collection, electric fence, CCTV, garden, parking, swimming pool"
Kileleshwa,5.4,1,1,80,55600,"garden, garbage collection, gym"
Kilimani,4,4,3,271,178511,"electric fence, gym, CCTV, parking, garbage collection"
Muthaiga,7,2,1,154,353821,"electric fence, parking, CCTV, gym, swimming pool, garden, garbage collection"
Muthaiga,7,3,3,184,430395,"electric fence, garbage collection, parking, gym"
Ruaka,19,3,2,175,51173,"garbage collection, CCTV, gym"
Muthaiga,7,2,1,142,373325,"swimming pool, gym, CCTV, garden, parking, electric fence, garbage collection"
Muthaiga,7,2,2,154,250837,"parking, gym, CCTV, electric fence, swimming pool"
Lavington,5.9,2,1,99,85026,"CCTV, garden, gym, garbage collection, electric fence, parking"
Juja,32.8,1,1,71,14187,"electric fence, swimming pool, gym, CCTV, garbage collection"
Utawala,22.4,3,2,216,35000,"gym, parking, garden, CCTV"
Lavington,5.9,3,3,201,101210,"electric fence, garden, swimming pool, gym, CCTV, parking"
Juja,32.8,3,2,165,42489,CCTV
Juja,32.8,1,1,67,11907,
Syokimau,24,4,2,207,57108,
Utawala,22.4,2,1,143,18489,
Kileleshwa,5.4,1,1,75,73453,"swimming pool, CCTV, gym"
Muthaiga,7,1,1,59,173932,"swimming pool, parking"
Juja,32.8,2,1,167,27773,"swimming pool, electric fence, garden"
Westlands,3.2,4,1,165,235454,"garden, parking"
Ruiru,25.3,2,1,164,20007,CCTV
Westlands,3.2,2,2,97,125173,CCTV
Juja,32.8,1,1,79,12282,"CCTV, garbage collection"
Lavington,5.9,1,1,67,65118,
Lavington,5.9,3,3,153,111573,"garden, parking, garbage collection"
Kilimani,4,4,1,271,195226,"gym, garden"
Lavington,5.9,2,1,132,95812,"electric fence, garbage collection, garden, swimming pool, parking"
Ruiru,25.3,1,1,69,15580,"gym, CCTV, garden, parking"
Ruaka,19,3,3,215,60000,"gym, electric fence, parking, swimming pool, garden"
Muthaiga,7,3,1,187,417341,"swimming pool, garbage collection, garden, CCTV, electric fence, parking, gym"
Muthaiga,7,1,1,65,257139,"CCTV, swimming pool, garden, garbage collection, parking, gym, electric fence"
Ruiru,25.3,1,1,72,16088,CCTV
Lavington,5.9,4,3,198,282869,"swimming pool, CCTV"
Utawala,22.4,3,1,179,35000,"electric fence, parking, CCTV, garden, swimming pool, garbage collection, gym"
Juja,32.8,1,1,74,15000,"garbage collection, swimming pool, gym, CCTV, garden, parking, electric fence"
Westlands,3.2,1,1,66,112637,"swimming pool, gym, garbage collection, electric fence, CCTV, garden"
Ruaka,19,2,1,162,40636,"electric fence, gym"
Syokimau,24,3,1,151,45977,"electric fence, parking, swimming pool, garbage collection, CCTV"
Lavington,5.9,1,1,72,81068,"swimming pool, CCTV"
Utawala,22.4,2,1,106,27110,"garbage collection, electric fence, garden, CCTV, parking, gym, swimming pool"
Westlands,3.2,2,2,91,187336,"garden, swimming pool, gym, parking, CCTV"
Utawala,22.4,1,1,58,14214,"electric fence, gym, CCTV, swimming pool, parking, garbage collection, garden"
Juja,32.8,4,1,266,50390,
Juja,32.8,3,1,175,39116,"garden, swimming pool"
Juja,32.8,3,2,183,40455,"garden, electric fence"
Ruiru,25.3,3,2,224,40633,garbage collection
Muthaiga,7,1,1,76,170077,"garbage collection, swimming pool, CCTV"
Kileleshwa,5.4,3,3,184,106454,parking
Ruaka,19,2,2,159,33241,"gym, garden, parking"
Kileleshwa,5.4,3,3,224,143030,"garden, electric fence, garbage collection, gym, swimming pool, CCTV, parking"
Juja,32.8,2,1,109,30722,"garbage collection, CCTV, gym, garden"
Lavington,5.9,3,2,176,124851,"electric fence, parking, garbage collection, swimming pool"
Lavington,5.9,1,1,71,80389,"electric fence, gym"
Ruiru,25.3,1,1,70,12163,gym
Westlands,3.2,4,2,170,244283,"garden, garbage collection"
Kileleshwa,5.4,1,1,60,65956,"garden, swimming pool, electric fence"
Syokimau,24,2,2,126,30123,"electric fence, gym"
Westlands,3.2,4,1,234,336248,"garden, garbage collection, parking, CCTV, gym, swimming pool"
Ruaka,19,1,1,72,17674,"CCTV, garden, parking, swimming pool, electric fence"
Ruaka,19,2,1,162,36071,"garden, gym, parking"
Utawala,22.4,4,4,239,54652,"electric fence, CCTV, parking, garden, swimming pool, garbage collection"
Ruaka,19,3,1,156,60000,"parking, swimming pool, garden"
Utawala,22.4,2,2,146,17752,"electric fence, CCTV, swimming pool"
Utawala,22.4,2,1,144,23320,"garbage collection, swimming pool, CCTV, parking, electric fence"
Muthaiga,7,2,2,167,303557,"parking, garbage collection, garden, electric fence"
Ruiru,25.3,3,1,197,37786,garden
Westlands,3.2,3,2,174,178923,"swimming pool, parking"
Ruiru,25.3,3,3,224,48495,"garbage collection, swimming pool"
Muthaiga,7,2,1,145,313926,"garbage collection, parking, CCTV, swimming pool"
Juja,32.8,1,1,52,12018,"garbage collection, CCTV, garden, swimming pool"
Juja,32.8,3,1,187,42937,"garden, parking, garbage collection, swimming pool, gym, electric fence"
Ruaka,19,2,2,169,37126,garbage collection
Juja,32.8,2,1,96,30120,swimming pool
Lavington,5.9,1,1,62,77108,"electric fence, CCTV"
Ruaka,19,2,1,136,37372,"swimming pool, parking"
Lavington,5.9,4,4,193,247921,"gym, swimming pool, parking"
Muthaiga,7,4,1,210,552322,"garbage collection, parking, garden, electric fence, swimming pool, gym"
Kilimani,4,2,2,127,98856,"garbage collection, garden, parking, CCTV, gym, swimming pool"
Juja,32.8,1,1,60,13040,
Kileleshwa,5.4,4,4,214,179255,"gym, swimming pool, garbage collection"
Ruiru,25.3,1,1,74,12696,"swimming pool, electric fence"
Syokimau,24,1,1,61,17567,"parking, swimming pool, CCTV, garden"
Utawala,22.4,4,4,281,55000,"CCTV, parking, electric fence, swimming pool"
Syokimau,24,3,2,153,56395,"garbage collection, electric fence, parking, gym, swimming pool, CCTV, garden"
Kileleshwa,5.4,3,3,189,116260,"electric fence, CCTV, gym, garbage collection"
Kileleshwa,5.4,3,1,157,115470,"swimming pool, electric fence, garden, CCTV, garbage collection"
Kileleshwa,5.4,1,1,70,63282,"gym, electric fence, CCTV, garbage collection, parking, garden"
Syokimau,24,1,1,54,16923,"garbage collection, parking, CCTV, gym, electric fence, swimming pool, garden"
Juja,32.8,4,4,169,52008,garden
Kileleshwa,5.4,1,1,74,50538,parking
Juja,32.8,1,1,72,10191,"garden, parking"
Utawala,22.4,3,2,213,29658,gym
Ruaka,19,3,3,156,54671,"CCTV, garbage collection"
Westlands,3.2,4,3,277,219066,garbage collection
Kileleshwa,5.4,4,2,194,164244,
Utawala,22.4,2,2,129,17618,"garbage collection, swimming pool, garden"
Westlands,3.2,3,3,192,205991,"swimming pool, electric fence, CCTV, garden, parking, garbage collection"
Utawala,22.4,3,3,176,35000,"gym, electric fence, swimming pool, parking"
Ruiru,25.3,4,1,249,62753,swimming pool
Ruaka,19,1,1,75,20160,"garden, garbage collection, electric fence, parking, CCTV, swimming pool"
Kilimani,4,1,1,55,48472,
Muthaiga,7,3,3,177,387378,"garbage collection, electric fence, parking"
Muthaiga,7,3,2,141,386854,"garbage collection, swimming pool, CCTV, parking"
Kileleshwa,5.4,1,1,61,56412,"parking, CCTV"
Ruiru,25.3,4,4,227,53306,"garden, gym, electric fence, swimming pool"
Westlands,3.2,4,4,254,270805,swimming pool
Juja,32.8,2,2,93,28580,"parking, gym, garbage collection"
Kileleshwa,5.4,3,2,189,102161,"swimming pool, gym, garbage collection, CCTV, garden, parking"
Kileleshwa,5.4,2,2,160,93478,"parking, gym, electric fence, garden, swimming pool, CCTV"
Ruaka,19,4,1,270,44544,
Muthaiga,7,2,1,161,222924,garbage collection
Muthaiga,7,1,1,66,211577,"garden, electric fence, garbage collection, gym, swimming pool, CCTV, parking"
Syokimau,24,2,1,132,37881,"swimming pool, garbage collection, parking"
Juja,32.8,3,3,169,55000,"parking, swimming pool, CCTV, electric fence"
Ruiru,25.3,3,1,208,60000,"swimming pool, electric fence, garden, garbage collection, gym, parking"
Lavington,5.9,3,2,180,135209,"gym, CCTV, electric fence, garden, garbage collection, parking, swimming pool"
Lavington,5.9,1,1,64,93703,"CCTV, swimming pool, parking, garbage collection"
Muthaiga,7,4,3,187,334046,swimming pool
Kileleshwa,5.4,1,1,70,56853,"electric fence, swimming pool, parking"
Muthaiga,7,1,1,61,201728,"electric fence, garden, parking"
Lavington,5.9,1,1,63,88530,"gym, CCTV, garbage collection, electric fence, swimming pool"
Kileleshwa,5.4,2,2,172,74796,parking
Utawala,22.4,4,3,213,55000,"CCTV, garden, parking, gym, electric fence, swimming pool"
Ruiru,25.3,3,2,222,48717,garbage collection
Juja,32.8,1,1,80,14092,"CCTV, parking, electric fence, gym, swimming pool, garden"
Ruiru,25.3,3,1,173,44199,"CCTV, parking, garden, gym"
Ruaka,19,1,1,77,16048,electric fence
Kileleshwa,5.4,2,1,145,80178,"electric fence, swimming pool"
Syokimau,24,2,1,160,34751,"swimming pool, garden"
Lavington,5.9,2,2,166,102363,"parking, electric fence, gym, garbage collection"
Westlands,3.2,4,3,206,282296,"swimming pool, garbage collection, gym, electric fence"
Kilimani,4,1,1,67,52370,"garbage collection, garden, parking"
Juja,32.8,2,2,112,35000,"electric fence, garden, swimming pool, parking, gym, garbage collection"
Utawala,22.4,2,2,171,23558,garden
Juja,32.8,2,1,111,33183,"gym, swimming pool, electric fence"
Muthaiga,7,3,2,216,303072,"gym, swimming pool"
Westlands,3.2,3,1,221,139128,"swimming pool, CCTV, garbage collection, electric fence, gym"
Ruaka,19,3,2,213,42824,
Syokimau,24,1,1,53,15861,"garbage collection, garden, swimming pool, gym, electric fence, CCTV, parking"
Lavington,5.9,3,2,212,112311,"swimming pool, garden, electric fence, garbage collection, gym"
Ruiru,25.3,1,1,79,15358,"garden, CCTV, parking, gym, swimming pool, garbage collection"
Ruiru,25.3,1,1,51,17351,"CCTV, parking, garden, swimming pool"
Muthaiga,7,3,2,162,369792,"gym, parking, garden, electric fence, swimming pool"
Kilimani,4,1,1,58,61965,"swimming pool, gym"
Juja,32.8,1,1,74,15000,"garden, parking, swimming pool, garbage collection"
Kileleshwa,5.4,4,4,267,202911,"gym, swimming pool, CCTV, garbage collection, parking, electric fence, garden"
Kileleshwa,5.4,4,1,184,232334,"garden, parking, CCTV, electric fence, gym"
Ruaka,19,3,2,224,50265,"electric fence, garden, gym, garbage collection"
Utawala,22.4,1,1,62,11619,"CCTV, gym, garden"
Westlands,3.2,3,2,195,170553,"CCTV, swimming pool, parking, gym, garbage collection, electric fence, garden"
Ruiru,25.3,4,4,294,62857,gym
Lavington,5.9,1,1,64,68568,
Westlands,3.2,4,3,169,209074,"garbage collection, electric fence, garden"
Ruaka,19,4,3,279,62450,electric fence
Kilimani,4,2,1,153,79587,"swimming pool, garden, parking"
Kilimani,4,2,2,172,70888,
Lavington,5.9,2,2,168,106633,"garden, parking, gym, garbage collection, swimming pool, CCTV, electric fence"
Kileleshwa,5.4,3,2,161,110427,"electric fence, gym, garden, garbage collection"
Lavington,5.9,3,1,218,149124,"gym, garbage collection, electric fence, CCTV, parking, swimming pool, garden"
Ruiru,25.3,3,3,196,60000,"garden, garbage collection, parking"
Utawala,22.4,1,1,73,13839,"swimming pool, garbage collection, parking"
Syokimau,24,2,2,131,31811,"parking, garbage collection"
Ruaka,19,1,1,78,23378,"garden, gym, electric fence, garbage collection, swimming pool"
Kileleshwa,5.4,2,2,142,102911,"CCTV, swimming pool, garden, parking, garbage collection, gym, electric fence"
Syokimau,24,4,2,192,73034,"gym, parking, CCTV, garbage collection, garden"
Juja,32.8,2,2,106,29477,"CCTV, garden, electric fence, parking, swimming pool, garbage collection"
Kilimani,4,2,1,98,100438,"garbage collection, gym, CCTV, garden, swimming pool, electric fence"
Syokimau,24,3,2,188,48793,"garden, parking, swimming pool, gym"
Syokimau,24,4,4,187,90163,"parking, swimming pool, garbage collection"
Kilimani,4,2,1,96,111015,"garbage collection, gym, CCTV, electric fence"
Juja,32.8,1,1,72,11620,"garden, gym, swimming pool, garbage collection"
Muthaiga,7,3,1,191,368940,garden
Utawala,22.4,3,3,225,35000,"swimming pool, gym, garbage collection, garden"
Kileleshwa,5.4,4,4,170,139011,
Muthaiga,7,4,1,257,426800,garden
Westlands,3.2,4,3,194,238211,"electric fence, garbage collection"
Ruaka,19,2,1,145,31220,"garbage collection, parking"
Kileleshwa,5.4,2,1,159,97211,"electric fence, gym, CCTV, swimming pool"
Kilimani,4,3,3,192,139025,"CCTV, parking, electric fence, garden, garbage collection, gym"
Syokimau,24,1,1,65,13967,garden
Ruaka,19,1,1,70,21792,"parking, gym, electric fence, swimming pool, garbage collection, garden, CCTV"
Juja,32.8,1,1,52,13906,"garbage collection, gym, CCTV, swimming pool, electric fence, garden"
Kilimani,4,4,4,255,213327,"swimming pool, CCTV, garbage collection"
Muthaiga,7,2,1,161,277559,"garbage collection, parking"
Juja,32.8,1,1,64,10566,
Muthaiga,7,2,2,106,302142,"gym, electric fence"
Ruaka,19,4,4,188,51201,parking
Westlands,3.2,2,2,93,172516,"garbage collection, garden, parking, swimming pool, electric fence"
Utawala,22.4,4,4,278,47998,"CCTV, swimming pool"
Juja,32.8,1,1,50,14816,"CCTV, parking, electric fence, garden, swimming pool, garbage collection, gym"
Muthaiga,7,3,1,145,347482,"garden, garbage collection, gym, parking, CCTV, swimming pool"
Kileleshwa,5.4,4,4,239,187762,parking
Lavington,5.9,1,1,78,100000,"garden, CCTV, parking, garbage collection, electric fence, swimming pool, gym"
Juja,32.8,3,3,190,50904,"gym, electric fence, swimming pool, parking"
Ruaka,19,2,1,115,33448,
Syokimau,24,1,1,62,13656,parking
Kileleshwa,5.4,2,1,117,130140,"swimming pool, parking, gym, garden, CCTV, electric fence, garbage collection"
Muthaiga,7,2,1,93,222065,gym
Ruaka,19,4,2,273,69378,"gym, parking, swimming pool, electric fence, garden"
Westlands,3.2,4,2,192,262938,"swimming pool, gym, electric fence, garden, parking, garbage collection"
Ruiru,25.3,4,1,262,64605,"parking, garbage collection"
Westlands,3.2,1,1,74,127577,"gym, swimming pool, garden, parking"
Utawala,22.4,4,3,258,55000,"parking, swimming pool, garbage collection, garden, CCTV, electric fence, gym"
Lavington,5.9,3,3,215,103806,"CCTV, parking, gym"
Ruaka,19,3,2,163,56213,"gym, CCTV"
Kilimani,4,3,2,148,151870,"CCTV, gym, swimming pool, garbage collection, electric fence, garden, parking"
Kilimani,4,1,1,69,72242,"parking, electric fence, garbage collection, swimming pool, gym"
Muthaiga,7,2,1,160,287432,gym
Kileleshwa,5.4,4,1,226,138119,
Kilimani,4,4,4,251,175295,"CCTV, electric fence, swimming pool, parking, garbage collection, garden"
Kilimani,4,4,1,250,158095,CCTV
Utawala,22.4,1,1,70,12449,CCTV
Muthaiga,7,2,1,125,307958,"garbage collection, gym"
Kileleshwa,5.4,4,1,298,236207,"electric fence, parking, garden, garbage collection, gym"
Ruiru,25.3,3,2,169,40799,
Syokimau,24,1,1,75,15011,"garbage collection, parking, garden, swimming pool, electric fence"
Ruaka,19,4,2,200,60318,gym
Juja,32.8,4,3,262,49757,garden
Ruiru,25.3,4,4,289,57450,"gym, parking, swimming pool"
Kileleshwa,5.4,4,3,274,204206,"garbage collection, swimming pool"
Lavington,5.9,1,1,69,79753,garbage collection
Ruaka,19,2,1,104,37134,
Lavington,5.9,3,2,151,112065,"swimming pool, electric fence, gym, CCTV"
Ruaka,19,4,4,287,63416,
Ruiru,25.3,1,1,62,17423,"parking, swimming pool, garden"
Muthaiga,7,1,1,74,190176,"gym, parking, CCTV, electric fence, swimming pool, garbage collection, garden"
Juja,32.8,4,4,266,47292,electric fence
Ruaka,19,1,1,55,16279,
Lavington,5.9,4,3,275,334256,"garden, garbage collection, CCTV, swimming pool, electric fence, parking, gym"
Lavington,5.9,2,1,119,112480,"garden, electric fence, garbage collection, gym, CCTV"
Ruiru,25.3,1,1,69,13990,"CCTV, gym, garden, parking, garbage collection, swimming pool, electric fence"
Juja,32.8,3,2,165,46944,"electric fence, CCTV, garbage collection"
Ruiru,25.3,3,2,217,39715,garbage collection
Juja,32.8,4,1,277,70000,"parking, CCTV, garbage collection, electric fence, swimming pool, garden"
Syokimau,24,1,1,58,16535,"swimming pool, garbage collection"
Kilimani,4,2,2,140,100294,"gym, garbage collection, parking, swimming pool, CCTV, electric fence, garden"
Kileleshwa,5.4,2,2,157,104778,"parking, garden, CCTV, gym, garbage collection, electric fence"
Lavington,5.9,3,2,170,125922,"garbage collection, parking, garden, gym, electric fence, CCTV"
Utawala,22.4,3,3,162,35000,garbage collection
Juja,32.8,1,1,51,10426,
Ruaka,19,2,1,140,37783,"gym, garbage collection, electric fence"
Westlands,3.2,4,2,218,197333,"CCTV, electric fence"
Muthaiga,7,2,1,180,322495,"parking, gym, CCTV"
Westlands,3.2,4,1,241,288391,"parking, gym, swimming pool"
Syokimau,24,4,1,201,68032,gym
Utawala,22.4,2,1,153,20607,"garbage collection, garden, electric fence, swimming pool, CCTV"
Ruiru,25.3,3,3,194,51500,
Westlands,3.2,2,1,150,179075,"CCTV, electric fence, garden, garbage collection, gym, swimming pool"
Muthaiga,7,3,1,200,415036,"CCTV, garden, gym, swimming pool, garbage collection"
Kileleshwa,5.4,1,1,69,62625,"CCTV, swimming pool, garden, gym, parking"
Ruaka,19,2,2,155,38316,"garden, swimming pool, garbage collection, parking, CCTV"
Kilimani,4,2,1,101,89326,"garbage collection, electric fence, CCTV, garden"
Kilimani,4,4,2,216,169576,"garbage collection, CCTV"
Kilimani,4,1,1,70,51583,"electric fence, swimming pool, gym"
Kilimani,4,1,1,79,62673,"parking, garbage collection, electric fence, gym, garden, swimming pool"
Utawala,22.4,2,2,105,21636,"garbage collection, swimming pool, electric fence"
Kilimani,4,3,3,166,126040,"swimming pool, gym, garbage collection, CCTV, parking, electric fence"
Kileleshwa,5.4,2,2,157,83712,"CCTV, gym, electric fence, swimming pool, garden"
Lavington,5.9,3,3,223,110444,"parking, swimming pool, CCTV, gym, garbage collection"
Westlands,3.2,1,1,61,86175,"swimming pool, garbage collection"
Ruaka,19,1,1,56,22614,"CCTV, electric fence, gym"
Utawala,22.4,3,3,190,35000,"garbage collection, CCTV, gym, swimming pool, parking"
Ruaka,19,4,2,223,55158,
Ruaka,19,4,3,245,57801,"CCTV, swimming pool, gym, garden, electric fence"
Ruaka,19,2,1,180,35643,"electric fence, parking, gym, garden, swimming pool"
Syokimau,24,2,2,116,30477,"garden, CCTV, electric fence, garbage collection, parking, swimming pool"
Ruiru,25.3,4,1,258,45636,
Lavington,5.9,1,1,62,93903,"CCTV, gym, swimming pool, electric fence, garbage collection"
Muthaiga,7,1,1,80,180428,"electric fence, CCTV"
Muthaiga,7,1,1,66,195455,electric fence
Muthaiga,7,3,3,204,371200,"swimming pool, garbage collection, gym, parking"
Utawala,22.4,4,2,212,54083,"CCTV, garden, garbage collection, parking, electric fence, swimming pool, gym"
Muthaiga,7,3,1,209,297069,
Juja,32.8,3,1,166,44447,"swimming pool, garden, garbage collection, gym"
Ruaka,19,2,2,92,35733,
Lavington,5.9,1,1,60,100000,"electric fence, CCTV, swimming pool"
Juja,32.8,1,1,65,12684,"swimming pool, electric fence, parking, CCTV"
Juja,32.8,2,1,129,27752,"CCTV, parking, gym, electric fence, swimming pool, garden"
Westlands,3.2,2,2,142,153989,gym
Lavington,5.9,1,1,79,83951,
Utawala,22.4,3,3,224,31811,"garden, garbage collection"
Kilimani,4,3,2,216,86726,
Juja,32.8,2,1,148,29055,
Utawala,22.4,1,1,61,10562,
Juja,32.8,4,2,217,70000,"garden, parking, gym, swimming pool, electric fence, CCTV, garbage collection"
Lavington,5.9,3,2,188,96824,"garden, gym, electric fence"
Syokimau,24,2,2,123,33960,"CCTV, gym, parking, garbage collection"
Kileleshwa,5.4,3,1,174,96504,
Ruaka,19,3,1,190,60000,"garden, gym, electric fence, parking, garbage collection, CCTV, swimming pool"
Lavington,5.9,3,1,164,141296,"electric fence, parking, swimming pool, garbage collection, CCTV, garden, gym"
Juja,32.8,4,2,289,60485,"garbage collection, swimming pool"
Ruiru,25.3,3,1,169,43877,
Ruiru,25.3,3,3,169,56579,"CCTV, parking, garden, gym, garbage collection"
Kileleshwa,5.4,4,1,254,191628,parking
Kileleshwa,5.4,1,1,59,66355,"garbage collection, garden, gym, swimming pool"
Kileleshwa,5.4,4,1,164,215848,"garden, swimming pool, gym, garbage collection, parking, CCTV, electric fence"
Utawala,22.4,2,2,94,21037,"swimming pool, garbage collection, gym, electric fence"
Ruaka,19,3,1,140,60000,"gym, electric fence, swimming pool, garbage collection, garden"
Syokimau,24,3,3,173,51582,"CCTV, electric fence, gym, garden, swimming pool, parking, garbage collection"
Westlands,3.2,4,1,286,265905,"swimming pool, garden, electric fence"
Kilimani,4,3,3,146,135713,"gym, parking, electric fence, garden"
Juja,32.8,1,1,60,13773,"swimming pool, gym, CCTV, parking, garden, garbage collection"
Syokimau,24,3,2,184,48057,"swimming pool, garden, electric fence, gym"
Westlands,3.2,4,2,270,259025,gym
Ruaka,19,3,3,225,60000,"CCTV, gym, garden, electric fence, garbage collection"
Juja,32.8,1,1,60,11986,electric fence
Ruiru,25.3,4,3,169,67919,"swimming pool, gym, electric fence"
Lavington,5.9,1,1,54,98611,"garden, parking"
Syokimau,24,2,2,161,28953,"garden, CCTV, garbage collection, electric fence"
Syokimau,24,3,2,145,53583,"swimming pool, CCTV"
Utawala,22.4,1,1,69,14852,"gym, garden, parking, electric fence, CCTV, swimming pool, garbage collection"
Ruiru,25.3,4,2,208,63687,"electric fence, CCTV, swimming pool, garbage collection"
Muthaiga,7,3,2,193,274841,electric fence
Westlands,3.2,2,1,157,127533,"electric fence, swimming pool"
Kileleshwa,5.4,4,3,289,176092,"electric fence, parking, garden, gym"
Westlands,3.2,1,1,79,108570,"parking, electric fence"
Ruiru,25.3,2,2,151,24660,"garbage collection, parking"
Lavington,5.9,4,1,169,297498,"CCTV, swimming pool, garden, electric fence, garbage collection, gym, parking"
Muthaiga,7,1,1,80,230797,"garden, CCTV, parking, garbage collection, gym"
Westlands,3.2,3,2,219,198319,"parking, electric fence, CCTV, garbage collection, gym, garden, swimming pool"
Kilimani,4,3,2,212,111127,"garden, CCTV, gym, electric fence, parking, swimming pool"
Ruiru,25.3,3,2,215,51968,garbage collection
Kilimani,4,3,1,191,111318,"garden, parking"
Westlands,3.2,1,1,58,121194,"CCTV, garbage collection, swimming pool"
Kileleshwa,5.4,3,3,189,89089,
Ruaka,19,4,4,173,70000,"garbage collection, CCTV, swimming pool, garden, gym, parking, electric fence"
Juja,32.8,4,2,257,64115,
Kilimani,4,3,3,179,132514,"garden, gym, garbage collection, swimming pool, parking, CCTV"
Lavington,5.9,3,1,219,82683,garden
Utawala,22.4,4,1,219,49786,"garbage collection, garden, electric fence, swimming pool, gym, parking"
Ruaka,19,1,1,63,18816,
Ruiru,25.3,3,2,207,46786,garden
Muthaiga,7,2,2,160,324899,"parking, gym, garden"
Juja,32.8,1,1,79,12462,"garbage collection, electric fence, swimming pool, garden, CCTV, gym, parking"
Syokimau,24,2,1,92,33622,"CCTV, garbage collection, parking, gym, electric fence, swimming pool, garden"
Juja,32.8,3,2,188,46893,"garbage collection, CCTV, parking, electric fence"
Ruiru,25.3,3,1,176,53806,electric fence
Utawala,22.4,3,1,206,35000,"parking, CCTV, swimming pool, garden, electric fence, garbage collection"
Syokimau,24,4,3,243,67469,
Syokimau,24,3,3,194,37424,
Utawala,22.4,4,3,276,47477,
Kileleshwa,5.4,3,1,212,130186,"electric fence, swimming pool, parking"
Utawala,22.4,4,3,167,55000,"gym, CCTV, swimming pool, garbage collection, garden, parking, electric fence"
Lavington,5.9,4,3,255,233488,"swimming pool, parking"
Utawala,22.4,4,3,282,55000,"CCTV, parking, electric fence, garden, gym, garbage collection"
Syokimau,24,3,3,185,35141,
Ruaka,19,4,3,286,63719,electric fence
Westlands,3.2,4,4,285,235354,"swimming pool, parking, CCTV"
Lavington,5.9,4,3,248,352636,"swimming pool, garden, garbage collection, parking, gym, CCTV"
Ruaka,19,1,1,60,20388,"electric fence, garden, gym, parking, CCTV, swimming pool, garbage collection"
Kilimani,4,4,1,266,229861,"garbage collection, garden, CCTV, parking"
Ruiru,25.3,3,2,157,51911,CCTV
Kilimani,4,2,2,175,77838,
Lavington,5.9,2,1,96,109232,"CCTV, gym, garden, electric fence, swimming pool, parking, garbage collection"
Utawala,22.4,1,1,74,14822,"electric fence, garbage collection, CCTV, parking, swimming pool"
Utawala,22.4,2,1,166,26561,"gym, CCTV, electric fence, garbage collection"
Muthaiga,7,4,3,191,439752,"garden, garbage collection"
Muthaiga,7,4,2,241,428939,electric fence
Westlands,3.2,2,1,104,150846,"garbage collection, swimming pool, gym, electric fence, CCTV"
Ruiru,25.3,3,2,182,49887,
Westlands,3.2,1,1,72,106885,"swimming pool, CCTV, electric fence"
Syokimau,24,4,4,259,86130,"garden, gym, parking, electric fence, CCTV"
Ruaka,19,3,1,155,52105,CCTV
Ruiru,25.3,2,2,140,27514,"garden, CCTV"
Ruaka,19,4,3,281,70000,"electric fence, garbage collection, garden, parking"
Kilimani,4,4,4,292,187050,
Ruiru,25.3,4,4,268,46964,
Lavington,5.9,2,1,174,107324,"gym, swimming pool, garden, electric fence, parking"
Westlands,3.2,1,1,76,83882,
Ruaka,19,2,1,151,37054,"garden, CCTV, gym, parking, electric fence, swimming pool"
Juja,32.8,2,2,93,35000,"swimming pool, electric fence, garbage collection, garden"
Westlands,3.2,2,1,150,174328,"gym, garbage collection, garden, parking, CCTV, swimming pool, electric fence"
Ruiru,25.3,4,1,280,60082,"swimming pool, CCTV"
Syokimau,24,1,1,71,20257,"swimming pool, electric fence, parking, garden, garbage collection, gym, CCTV"
Kileleshwa,5.4,2,1,176,108862,"gym, garden, parking, CCTV, garbage collection"
Juja,32.8,4,1,218,70000,"parking, gym, garden, electric fence, swimming pool, CCTV, garbage collection"
Kileleshwa,5.4,3,3,221,98054,"garbage collection, garden, swimming pool, parking"
Westlands,3.2,1,1,66,107294,gym
Ruaka,19,3,1,211,60000,"electric fence, garden, swimming pool, CCTV, gym, garbage collection"
Kilimani,4,4,3,205,184064,"electric fence, gym, swimming pool"
Kileleshwa,5.4,4,1,180,146228,CCTV
Juja,32.8,3,3,188,42471,"CCTV, garbage collection"
Kileleshwa,5.4,4,1,161,157203,CCTV
Muthaiga,7,1,1,53,154043,
Muthaiga,7,2,1,115,288313,"garbage collection, parking, swimming pool, gym"
Kilimani,4,1,1,51,71525,"swimming pool, garbage collection, electric fence, parking, CCTV, garden, gym"
Syokimau,24,1,1,69,14883,
Syokimau,24,2,2,154,31260,"swimming pool, gym, CCTV"
Kilimani,4,1,1,53,75641,"garden, gym, parking"
Ruiru,25.3,4,2,210,53055,"garbage collection, gym, electric fence, swimming pool"
Lavington,5.9,1,1,68,100000,"garbage collection, garden, swimming pool, CCTV"
Juja,32.8,4,4,251,70000,"parking, garden, gym, electric fence, garbage collection, swimming pool"
Utawala,22.4,1,1,58,14874,"swimming pool, gym, garden, electric fence, parking, CCTV"
Westlands,3.2,1,1,77,125525,"swimming pool, garden, electric fence, gym, garbage collection, CCTV, parking"
Ruaka,19,1,1,52,23657,"CCTV, parking, garden, gym, electric fence, garbage collection"
Westlands,3.2,4,2,285,254604,"gym, garden"
Ruaka,19,4,1,198,57727,"swimming pool, parking"
Ruiru,25.3,4,1,172,46214,parking
Ruiru,25.3,1,1,62,16676,"garden, garbage collection, parking, CCTV, electric fence, swimming pool"
